Filename,Date,Hour,Foraging,n
Potomac 2017 01 2017 05 10 POD2969 file01.CP3,5/19/2017,10,TRUE,9
Potomac 2017 01 2017 05 10 POD2969 file01.CP4,5/21/2017,6,TRUE,3
Potomac 2017 01 2017 05 10 POD2969 file01.CP5,5/21/2017,13,TRUE,1
Potomac 2017 01 2017 05 10 POD2969 file01.CP6,5/22/2017,5,TRUE,8
Potomac 2017 01 2017 05 10 POD2969 file01.CP7,5/23/2017,0,TRUE,1
Potomac 2017 01 2017 05 10 POD2969 file01.CP8,5/24/2017,13,TRUE,1
Potomac 2017 01 2017 05 10 POD2969 file01.CP9,5/25/2017,9,TRUE,1
Potomac 2017 01 2017 05 10 POD2969 file01.CP10,5/25/2017,11,TRUE,2
Potomac 2017 01 2017 05 10 POD2969 file01.CP11,5/25/2017,17,TRUE,2
Potomac 2017 01 2017 05 10 POD2969 file01.CP12,5/26/2017,8,TRUE,4
Potomac 2017 01 2017 05 10 POD2969 file01.CP13,5/26/2017,9,TRUE,2
Potomac 2017 01 2017 05 10 POD2969 file01.CP14,5/26/2017,20,TRUE,4
Potomac 2017 01 2017 05 10 POD2969 file01.CP15,5/26/2017,21,TRUE,7
Potomac 2017 01 2017 05 10 POD2969 file01.CP16,5/26/2017,23,TRUE,1
Potomac 2017 01 2017 05 10 POD2969 file01.CP17,5/27/2017,2,TRUE,1
Potomac 2017 01 2017 05 10 POD2969 file01.CP18,5/27/2017,5,TRUE,4
Potomac 2017 01 2017 05 10 POD2969 file01.CP19,5/27/2017,6,TRUE,2
Potomac 2017 01 2017 05 10 POD2969 file01.CP20,5/27/2017,15,TRUE,5
Potomac 2017 01 2017 05 10 POD2969 file01.CP21,5/27/2017,16,TRUE,6
Potomac 2017 01 2017 05 10 POD2969 file01.CP22,5/28/2017,8,TRUE,1
Potomac 2017 01 2017 05 10 POD2969 file01.CP23,5/29/2017,17,TRUE,10
Potomac 2017 01 2017 05 10 POD2969 file01.CP24,5/29/2017,18,TRUE,22
Potomac 2017 01 2017 05 10 POD2969 file01.CP25,5/30/2017,2,TRUE,2
Potomac 2017 01 2017 05 10 POD2969 file01.CP26,5/31/2017,2,TRUE,5
Potomac 2017 01 2017 05 10 POD2969 file01.CP27,5/31/2017,3,TRUE,3
Potomac 2017 01 2017 05 10 POD2969 file01.CP28,5/31/2017,4,TRUE,13
Potomac 2017 01 2017 05 10 POD2969 file01.CP29,6/2/2017,1,TRUE,2
Potomac 2017 01 2017 05 10 POD2969 file01.CP30,6/2/2017,9,TRUE,5
Potomac 2017 01 2017 05 10 POD2969 file01.CP31,6/2/2017,10,TRUE,6
